Song,Album,Lyric,Previous Lyric,Next Lyric,Multiplicity
My Limb,FLOWERS for VASES / descansos,"My limb, my limb, my limb, my limb (Don't let go)",", my limb, my limb, my limb","My limb, my limb, my limb, my limb (Let go)",1
My Limb,FLOWERS for VASES / descansos,"My limb, my limb, my limb, my limb (Let go)","My limb, my limb, my limb, my limb (Don't let go)","My limb, my limb, my limb, my limb",1
My Limb,FLOWERS for VASES / descansos,"My limb, my limb, my limb, my limb","My limb, my limb, my limb, my limb (Let go)","Funny, of the two of us, you always were the gentle one",1
My Limb,FLOWERS for VASES / descansos,"Funny, of the two of us, you always were the gentle one","My limb, my limb, my limb, my limb","Shy little rabbit, teething on a shotgun",1
My Limb,FLOWERS for VASES / descansos,"Shy little rabbit, teething on a shotgun","Funny, of the two of us, you always were the gentle one","Guess we were collateral damage, kissing in the crossfire",1
My Limb,FLOWERS for VASES / descansos,"Guess we were collateral damage, kissing in the crossfire","Shy little rabbit, teething on a shotgun","Limpin' over dead leaves, I wish that they would cover me",1
My Limb,FLOWERS for VASES / descansos,"Limpin' over dead leaves, I wish that they would cover me","Guess we were collateral damage, kissing in the crossfire","My limb, my limb, my limb, my limb (Don't let go)",1
My Limb,FLOWERS for VASES / descansos,"My limb, my limb, my limb, my limb (Don't let go)","Limpin' over dead leaves, I wish that they would cover me","My limb, my limb, my limb, my limb (Let go)",1
My Limb,FLOWERS for VASES / descansos,"My limb, my limb, my limb, my limb (Let go)","My limb, my limb, my limb, my limb (Don't let go)","My limb, my limb, my limb, my limb (Don't let go)",1
My Limb,FLOWERS for VASES / descansos,"My limb, my limb, my limb, my limb (Don't let go)","My limb, my limb, my limb, my limb (Let go)","My limb, my limb, my limb, my limb (Don't let go)",1
My Limb,FLOWERS for VASES / descansos,"My limb, my limb, my limb, my limb (Don't let go)","My limb, my limb, my limb, my limb (Don't let go)","(Ooh-ooh, ooh-ooh, ooh-ooh, ooh-oh)",1
My Limb,FLOWERS for VASES / descansos,"(Ooh-ooh, ooh-ooh, ooh-ooh, ooh-oh)","My limb, my limb, my limb, my limb (Don't let go)","(Ooh-ooh, ooh-ooh)",1
My Limb,FLOWERS for VASES / descansos,"(Ooh-ooh, ooh-ooh)","(Ooh-ooh, ooh-ooh, ooh-ooh, ooh-oh)","(Ooh-ooh, ooh-ooh, ooh-ooh, ooh-oh)",1
My Limb,FLOWERS for VASES / descansos,"(Ooh-ooh, ooh-ooh, ooh-ooh, ooh-oh)","(Ooh-ooh, ooh-ooh)","(Ooh-ooh, ooh-ooh)",1
My Limb,FLOWERS for VASES / descansos,"(Ooh-ooh, ooh-ooh)","(Ooh-ooh, ooh-ooh, ooh-ooh, ooh-oh)","Don't, don't let go my limb",1
My Limb,FLOWERS for VASES / descansos,"Don't, don't let go my limb","(Ooh-ooh, ooh-ooh)","Don't, don't let go my limb (Don't let go)",1
My Limb,FLOWERS for VASES / descansos,"Don't, don't let go my limb (Don't let go)","Don't, don't let go my limb","My limb, my limb, my limb, my limb (Don't, don't let go my limb)",1
My Limb,FLOWERS for VASES / descansos,"My limb, my limb, my limb, my limb (Don't, don't let go my limb)","Don't, don't let go my limb (Don't let go)","My limb, my limb, my limb, my limb (Don't, don't let go my limb)",1
My Limb,FLOWERS for VASES / descansos,"My limb, my limb, my limb, my limb (Don't, don't let go my limb)","My limb, my limb, my limb, my limb (Don't, don't let go my limb)","My limb, my limb, my limb, my limb (Don't, don't let go my limb)",1
My Limb,FLOWERS for VASES / descansos,"My limb, my limb, my limb, my limb (Don't, don't let go my limb)","My limb, my limb, my limb, my limb (Don't, don't let go my limb)","My limb, my limb, my limb, my limb, my limb (Don't, don't let go my limb)",1
My Limb,FLOWERS for VASES / descansos,"My limb, my limb, my limb, my limb, my limb (Don't, don't let go my limb)","My limb, my limb, my limb, my limb (Don't, don't let go my limb)",(Don't let go my),1
My Limb,FLOWERS for VASES / descansos,(Don't let go my),"My limb, my limb, my limb, my limb, my limb (Don't, don't let go my limb)",(Don't let go),1
My Limb,FLOWERS for VASES / descansos,(Don't let go),(Don't let go my),(Don't let go my),1
My Limb,FLOWERS for VASES / descansos,(Don't let go my),(Don't let go),,1
Asystole,FLOWERS for VASES / descansos,"I don't live for you, I live for me",,If only that were true,1
Asystole,FLOWERS for VASES / descansos,If only that were true,"I don't live for you, I live for me","If only I could prove that, on my own, I'm worthy",1
Asystole,FLOWERS for VASES / descansos,"If only I could prove that, on my own, I'm worthy",If only that were true,Funny how it feels like,1
Asystole,FLOWERS for VASES / descansos,Funny how it feels like,"If only I could prove that, on my own, I'm worthy",We're talking to each other on the other line,1
Asystole,FLOWERS for VASES / descansos,We're talking to each other on the other line,Funny how it feels like,But it's quiet here,1
Asystole,FLOWERS for VASES / descansos,But it's quiet here,We're talking to each other on the other line,Nothin' playing but the song of asystole,1
Asystole,FLOWERS for VASES / descansos,Nothin' playing but the song of asystole,But it's quiet here,"Asystole, asystole",1
Asystole,FLOWERS for VASES / descansos,"Asystole, asystole",Nothin' playing but the song of asystole,"Asystole, asystole",1
Asystole,FLOWERS for VASES / descansos,"Asystole, asystole","Asystole, asystole",And I can't get my head,1
Asystole,FLOWERS for VASES / descansos,And I can't get my head,"Asystole, asystole",To say anything my heart could ever understand,1
Asystole,FLOWERS for VASES / descansos,To say anything my heart could ever understand,And I can't get my head,I want to forget,1
Asystole,FLOWERS for VASES / descansos,I want to forget,To say anything my heart could ever understand,But the feelin' isn't somethin' I can let myself let go of,1
Asystole,FLOWERS for VASES / descansos,But the feelin' isn't somethin' I can let myself let go of,I want to forget,The trouble is the way you stick,1
Asystole,FLOWERS for VASES / descansos,The trouble is the way you stick,But the feelin' isn't somethin' I can let myself let go of,To any part of me that remains intact,1
Asystole,FLOWERS for VASES / descansos,To any part of me that remains intact,The trouble is the way you stick,But if I pull the plug,1
Asystole,FLOWERS for VASES / descansos,But if I pull the plug,To any part of me that remains intact,It isn't only me that I'm holding back,1
Asystole,FLOWERS for VASES / descansos,It isn't only me that I'm holding back,But if I pull the plug,"Asystole, asystole",1
Asystole,FLOWERS for VASES / descansos,"Asystole, asystole",It isn't only me that I'm holding back,"Asystole, asystole",1
Asystole,FLOWERS for VASES / descansos,"Asystole, asystole","Asystole, asystole",Revive your love in me,1
Asystole,FLOWERS for VASES / descansos,Revive your love in me,"Asystole, asystole",Revive another side of me,1
Asystole,FLOWERS for VASES / descansos,Revive another side of me,Revive your love in me,"My eyes, to see the poisoned devotion in me",1
Asystole,FLOWERS for VASES / descansos,"My eyes, to see the poisoned devotion in me",Revive another side of me,"Revive, revive, revive",1
Asystole,FLOWERS for VASES / descansos,"Revive, revive, revive","My eyes, to see the poisoned devotion in me","Asystole, asystole",1
Asystole,FLOWERS for VASES / descansos,"Asystole, asystole","Revive, revive, revive","(Oh, ah)",1
Asystole,FLOWERS for VASES / descansos,"(Oh, ah)","Asystole, asystole","(Oh, ah)",1
Asystole,FLOWERS for VASES / descansos,"(Oh, ah)","(Oh, ah)",(Oh),1
Asystole,FLOWERS for VASES / descansos,(Oh),"(Oh, ah)",(Ooh),1
Asystole,FLOWERS for VASES / descansos,(Ooh),(Oh),,1
Trigger,FLOWERS for VASES / descansos,All I ever had to say about love is a sad song,,I get off on tellin' everybody what went wrong,1
Trigger,FLOWERS for VASES / descansos,I get off on tellin' everybody what went wrong,All I ever had to say about love is a sad song,It makes me feel like the pain had a purpose,1
Trigger,FLOWERS for VASES / descansos,It makes me feel like the pain had a purpose,I get off on tellin' everybody what went wrong,Keeps me believin' that maybe it's worth it,1
Trigger,FLOWERS for VASES / descansos,Keeps me believin' that maybe it's worth it,It makes me feel like the pain had a purpose,"Truth is, all I really want is somebody who wants me",1
Trigger,FLOWERS for VASES / descansos,"Truth is, all I really want is somebody who wants me",Keeps me believin' that maybe it's worth it,Somebody I can count on who won't disappoint me,1
Trigger,FLOWERS for VASES / descansos,Somebody I can count on who won't disappoint me,"Truth is, all I really want is somebody who wants me","At first, it seems easy, I vow not to give up",1
Trigger,FLOWERS for VASES / descansos,"At first, it seems easy, I vow not to give up",Somebody I can count on who won't disappoint me,Let 'em debase me while keepin' my chin up,1
Trigger,FLOWERS for VASES / descansos,Let 'em debase me while keepin' my chin up,"At first, it seems easy, I vow not to give up","'Cause I got the trigger, but you hold the gun",1
Trigger,FLOWERS for VASES / descansos,"'Cause I got the trigger, but you hold the gun",Let 'em debase me while keepin' my chin up,How come you never put the safety on?,1
Trigger,FLOWERS for VASES / descansos,How come you never put the safety on?,"'Cause I got the trigger, but you hold the gun","I got the trigger, but you hold the gun",2
Trigger,FLOWERS for VASES / descansos,"I got the trigger, but you hold the gun",How come you never put the safety on?,How come you never put the safety on? Mmm,2
Trigger,FLOWERS for VASES / descansos,How come you never put the safety on? Mmm,"I got the trigger, but you hold the gun","So, what do people sing about once they finally found it?",1
Trigger,FLOWERS for VASES / descansos,"So, what do people sing about once they finally found it?",How come you never put the safety on? Mmm,"Take it for granted, think of how they were better without it?",1
Trigger,FLOWERS for VASES / descansos,"Take it for granted, think of how they were better without it?","So, what do people sing about once they finally found it?",I'd like to imagine I'd never be like that,1
Trigger,FLOWERS for VASES / descansos,I'd like to imagine I'd never be like that,"Take it for granted, think of how they were better without it?","But if I'm honest, I know I already have",1
Trigger,FLOWERS for VASES / descansos,"But if I'm honest, I know I already have",I'd like to imagine I'd never be like that,"'Cause I got the trigger, but you hold the gun",1
Trigger,FLOWERS for VASES / descansos,"'Cause I got the trigger, but you hold the gun","But if I'm honest, I know I already have",How come you never put the safety on?,1
Trigger,FLOWERS for VASES / descansos,How come you never put the safety on? Mmm,"I got the trigger, but you hold the gun",Mmm,1
Trigger,FLOWERS for VASES / descansos,Mmm,How come you never put the safety on? Mmm,"I got the trigger, but you own the gun",1
Trigger,FLOWERS for VASES / descansos,"I got the trigger, but you own the gun",Mmm,How come you never put the safety on?,1
Trigger,FLOWERS for VASES / descansos,How come you never put the safety on?,"I got the trigger, but you own the gun","Yeah, I got the trigger, but you hold the gun",1
Trigger,FLOWERS for VASES / descansos,"Yeah, I got the trigger, but you hold the gun",How come you never put the safety on?,How come you never put the safety on? Mmm,1
Trigger,FLOWERS for VASES / descansos,How come you never put the safety on? Mmm,"Yeah, I got the trigger, but you hold the gun",,1
Over Those Hills,FLOWERS for VASES / descansos,"Over those hills, I bet you're somewhere dreaming",,I take my pills every night and in the morning,1
Over Those Hills,FLOWERS for VASES / descansos,I take my pills every night and in the morning,"Over those hills, I bet you're somewhere dreaming","When you wake up, ever wish I was beside you?",1
Over Those Hills,FLOWERS for VASES / descansos,"When you wake up, ever wish I was beside you?",I take my pills every night and in the morning,We could look out together in those hills forever,1
Over Those Hills,FLOWERS for VASES / descansos,We could look out together in those hills forever,"When you wake up, ever wish I was beside you?","Over those hills, I bet you're somewhere dreaming",1
Over Those Hills,FLOWERS for VASES / descansos,"Over those hills, I bet you're somewhere dreaming",We could look out together in those hills forever,I take my pills every night and in the morning,1
Over Those Hills,FLOWERS for VASES / descansos,I take my pills every night and in the morning,"Over those hills, I bet you're somewhere dreaming","When you wake up (Wake up, wish I was), ever wish I was beside you? (Beside, beside you)",1
Over Those Hills,FLOWERS for VASES / descansos,"When you wake up (Wake up, wish I was), ever wish I was beside you? (Beside, beside you)",I take my pills every night and in the morning,"We could look out together in those hills forever, hmm",1
Over Those Hills,FLOWERS for VASES / descansos,"We could look out together in those hills forever, hmm","When you wake up (Wake up, wish I was), ever wish I was beside you? (Beside, beside you)",So this is the feeling,1
Over Those Hills,FLOWERS for VASES / descansos,So this is the feeling,"We could look out together in those hills forever, hmm",You can't imagine that it's real,1
Over Those Hills,FLOWERS for VASES / descansos,You can't imagine that it's real,So this is the feeling,"'Til you feel it, oh",1
Over Those Hills,FLOWERS for VASES / descansos,"'Til you feel it, oh",You can't imagine that it's real,Almost went numb,1
Over Those Hills,FLOWERS for VASES / descansos,Almost went numb,"'Til you feel it, oh",Thought I'd had enough,1
Over Those Hills,FLOWERS for VASES / descansos,Thought I'd had enough,Almost went numb,But the hurt is half the fun,1
Over Those Hills,FLOWERS for VASES / descansos,But the hurt is half the fun,Thought I'd had enough,"Da, da-ra-ra, da-ra-ra, da-ra-ra-ra, da, da-ra-ra, da-ra, da-ra-ra",1
Over Those Hills,FLOWERS for VASES / descansos,"Da, da-ra-ra, da-ra-ra, da-ra-ra-ra, da, da-ra-ra, da-ra, da-ra-ra",But the hurt is half the fun,"Da, da-ra-ra, da-ra-ra, da-ra-ra-ra, da",1
Over Those Hills,FLOWERS for VASES / descansos,"Da, da-ra-ra, da-ra-ra, da-ra-ra-ra, da","Da, da-ra-ra, da-ra-ra, da-ra-ra-ra, da, da-ra-ra, da-ra, da-ra-ra",We could look out together on those hills forever,1
Over Those Hills,FLOWERS for VASES / descansos,We could look out together on those hills forever,"Da, da-ra-ra, da-ra-ra, da-ra-ra-ra, da",,1
Good Grief,FLOWERS for VASES / descansos,There's no such thing as good grief,,Haven't eaten in three weeks,1
Good Grief,FLOWERS for VASES / descansos,Haven't eaten in three weeks,There's no such thing as good grief,Skin and bones when you're not near me,1
Good Grief,FLOWERS for VASES / descansos,Skin and bones when you're not near me,Haven't eaten in three weeks,I'm all skeleton and melody,1
Good Grief,FLOWERS for VASES / descansos,I'm all skeleton and melody,Skin and bones when you're not near me,There's no such thing as good grief,1
Good Grief,FLOWERS for VASES / descansos,There's no such thing as good grief,I'm all skeleton and melody,Sleep with you in a sex dream,1
Good Grief,FLOWERS for VASES / descansos,Sleep with you in a sex dream,There's no such thing as good grief,And I'm pretty sure you don't miss the way,1
Good Grief,FLOWERS for VASES / descansos,And I'm pretty sure you don't miss the way,Sleep with you in a sex dream,I put all my demons on display to your pretty music,1
Good Grief,FLOWERS for VASES / descansos,I put all my demons on display to your pretty music,And I'm pretty sure you don't miss the way,"One more time, play me something, I won't sing",1
Good Grief,FLOWERS for VASES / descansos,"One more time, play me something, I won't sing",I put all my demons on display to your pretty music,"I'll be quiet, play me something",1
Good Grief,FLOWERS for VASES / descansos,"I'll be quiet, play me something","One more time, play me something, I won't sing","One more time, I'm listening",2
Good Grief,FLOWERS for VASES / descansos,"One more time, I'm listening","I'll be quiet, play me something",There's no such thing as good grief,1
Good Grief,FLOWERS for VASES / descansos,There's no such thing as good grief,"One more time, I'm listening",Took two months to pack up your things,1
Good Grief,FLOWERS for VASES / descansos,Took two months to pack up your things,There's no such thing as good grief,But I left a box at your parents' house,1
Good Grief,FLOWERS for VASES / descansos,But I left a box at your parents' house,Took two months to pack up your things,Don't know whether to feel sad or proud,1
Good Grief,FLOWERS for VASES / descansos,Don't know whether to feel sad or proud,But I left a box at your parents' house,"One more time, play me something, I won't sing",1
Good Grief,FLOWERS for VASES / descansos,"One more time, play me something, I won't sing",Don't know whether to feel sad or proud,"I'll be quiet, play me something",1
Good Grief,FLOWERS for VASES / descansos,"One more time, I'm listening","I'll be quiet, play me something",,1
Wait On,FLOWERS for VASES / descansos,I don't wanna wait on you,,But it's just what I keep doing,1
Wait On,FLOWERS for VASES / descansos,But it's just what I keep doing,I don't wanna wait on you,As if I got nothing to do,1
Wait On,FLOWERS for VASES / descansos,As if I got nothing to do,But it's just what I keep doing,As if my life won't keep on going without you,1
Wait On,FLOWERS for VASES / descansos,As if my life won't keep on going without you,As if I got nothing to do,The sky will wake up every morning,1
Wait On,FLOWERS for VASES / descansos,The sky will wake up every morning,As if my life won't keep on going without you,And sometimes feel the need to pour out,1
Wait On,FLOWERS for VASES / descansos,And sometimes feel the need to pour out,The sky will wake up every morning,All the feelings it's been holding,1
Wait On,FLOWERS for VASES / descansos,All the feelings it's been holding,And sometimes feel the need to pour out,"But either way, it never comes down",1
Wait On,FLOWERS for VASES / descansos,"But either way, it never comes down",All the feelings it's been holding,It knows its place and knows a way around the clouds,1
Wait On,FLOWERS for VASES / descansos,It knows its place and knows a way around the clouds,"But either way, it never comes down",And their design,1
Wait On,FLOWERS for VASES / descansos,And their design,It knows its place and knows a way around the clouds,For every fairytale untrue,1
Wait On,FLOWERS for VASES / descansos,For every fairytale untrue,And their design,And all the hearts yet to be broken,1
Wait On,FLOWERS for VASES / descansos,And all the hearts yet to be broken,For every fairytale untrue,For every bird who never flew,1
Wait On,FLOWERS for VASES / descansos,For every bird who never flew,And all the hearts yet to be broken,"Well, it's a wonder we keep going without you",1
Wait On,FLOWERS for VASES / descansos,"Well, it's a wonder we keep going without you",For every bird who never flew,The sky still wakes up every morning,1
Wait On,FLOWERS for VASES / descansos,The sky still wakes up every morning,"Well, it's a wonder we keep going without you",And sometimes feels the need to pour out,1
Wait On,FLOWERS for VASES / descansos,And sometimes feels the need to pour out,The sky still wakes up every morning,Everything it's tired of holding,1
Wait On,FLOWERS for VASES / descansos,Everything it's tired of holding,And sometimes feels the need to pour out,"But either way, it never comes down",1
Wait On,FLOWERS for VASES / descansos,"But either way, it never comes down",Everything it's tired of holding,It's gonna stay and find a way around the clouds,1
Wait On,FLOWERS for VASES / descansos,It's gonna stay and find a way around the clouds,"But either way, it never comes down",There was a bird who never flew,1
Wait On,FLOWERS for VASES / descansos,There was a bird who never flew,It's gonna stay and find a way around the clouds,But she still kept all of her feathers,1
Wait On,FLOWERS for VASES / descansos,But she still kept all of her feathers,There was a bird who never flew,So she could pluck 'em out for you,1
Wait On,FLOWERS for VASES / descansos,So she could pluck 'em out for you,But she still kept all of her feathers,And you could wear them in your hair and,1
Wait On,FLOWERS for VASES / descansos,And you could wear them in your hair and,So she could pluck 'em out for you,She'd be with you,1
Wait On,FLOWERS for VASES / descansos,She'd be with you,And you could wear them in your hair and,,1
KYRH,FLOWERS for VASES / descansos,"""KYRH"" stands for ""Keep You Right Here"". The 8th out of 14 songs on FLOWERS for VASES / decscansos, KYRH serves as somewhat of an intermission between the first half of the album and the second.",,Keep you right here,1
KYRH,FLOWERS for VASES / descansos,Keep you right here,"""KYRH"" stands for ""Keep You Right Here"". The 8th out of 14 songs on FLOWERS for VASES / decscansos, KYRH serves as somewhat of an intermission between the first half of the album and the second.",Where the line is,1
KYRH,FLOWERS for VASES / descansos,Where the line is,Keep you right here,At my fingers,1
KYRH,FLOWERS for VASES / descansos,At my fingers,Where the line is,On the surface,1
KYRH,FLOWERS for VASES / descansos,On the surface,At my fingers,Keep you right here,1
KYRH,FLOWERS for VASES / descansos,Keep you right here,On the surface,Where the line is,2
KYRH,FLOWERS for VASES / descansos,Where the line is,Keep you right here,Keep you right here,1
KYRH,FLOWERS for VASES / descansos,Keep you right here,Where the line is,Keep you right here (Keep you right here),1
KYRH,FLOWERS for VASES / descansos,Keep you right here (Keep you right here),Keep you right here,Where the line is,1
KYRH,FLOWERS for VASES / descansos,Where the line is,Keep you right here (Keep you right here),At my fingers (Ah),1
KYRH,FLOWERS for VASES / descansos,At my fingers (Ah),Where the line is,On the surface,1
KYRH,FLOWERS for VASES / descansos,On the surface,At my fingers (Ah),Keep you right here,1
KYRH,FLOWERS for VASES / descansos,Where the line is,Keep you right here,"Keep you right here, ooh",1
KYRH,FLOWERS for VASES / descansos,"Keep you right here, ooh",Where the line is,Ooh,1
KYRH,FLOWERS for VASES / descansos,Ooh,"Keep you right here, ooh","Oh-oh, mmm",1
KYRH,FLOWERS for VASES / descansos,"Oh-oh, mmm",Ooh,,1
Inordinary,FLOWERS for VASES / descansos,I don't want your concern,,As some consolation prize,1
Inordinary,FLOWERS for VASES / descansos,As some consolation prize,I don't want your concern,And I don't want to be your friend,1
Inordinary,FLOWERS for VASES / descansos,And I don't want to be your friend,As some consolation prize,Or just one of the guys,1
Inordinary,FLOWERS for VASES / descansos,Or just one of the guys,And I don't want to be your friend,I am nobody's,1
Inordinary,FLOWERS for VASES / descansos,I am nobody's,Or just one of the guys,We left home when we were teens,1
Inordinary,FLOWERS for VASES / descansos,We left home when we were teens,I am nobody's,I grew bored of simple things,1
Inordinary,FLOWERS for VASES / descansos,I grew bored of simple things,We left home when we were teens,You gave me another chance,1
Inordinary,FLOWERS for VASES / descansos,You gave me another chance,I grew bored of simple things,A renegade holdin' your hand,1
Inordinary,FLOWERS for VASES / descansos,A renegade holdin' your hand,You gave me another chance,I was somebody's,1
Inordinary,FLOWERS for VASES / descansos,I was somebody's,A renegade holdin' your hand,"I wasn't ordinary, ordinary, ordinary",1
Inordinary,FLOWERS for VASES / descansos,"I wasn't ordinary, ordinary, ordinary",I was somebody's,"I was inordinary, ordinary",1
Inordinary,FLOWERS for VASES / descansos,"I was inordinary, ordinary","I wasn't ordinary, ordinary, ordinary","I wasn't ordinary, ordinary, ordinary",1
Inordinary,FLOWERS for VASES / descansos,"I wasn't ordinary, ordinary, ordinary","I was inordinary, ordinary","I was inordinary, ordinary",1
Inordinary,FLOWERS for VASES / descansos,"I was inordinary, ordinary","I wasn't ordinary, ordinary, ordinary",Life began in seventh grade,1
Inordinary,FLOWERS for VASES / descansos,Life began in seventh grade,"I was inordinary, ordinary",When me and mama got away,1
Inordinary,FLOWERS for VASES / descansos,When me and mama got away,Life began in seventh grade,Came home from school one afternoon,1
Inordinary,FLOWERS for VASES / descansos,Came home from school one afternoon,When me and mama got away,She was waitin' in the car for me,1
Inordinary,FLOWERS for VASES / descansos,She was waitin' in the car for me,Came home from school one afternoon,"She said, ""Don't worry""",1
Inordinary,FLOWERS for VASES / descansos,"She said, ""Don't worry""",She was waitin' in the car for me,"Started over, Tennessee",1
Inordinary,FLOWERS for VASES / descansos,"Started over, Tennessee","She said, ""Don't worry""",Rent was cheap and we were free,1
Inordinary,FLOWERS for VASES / descansos,Rent was cheap and we were free,"Started over, Tennessee",I wish that feelin' stuck around,1
Inordinary,FLOWERS for VASES / descansos,I wish that feelin' stuck around,Rent was cheap and we were free,There's a beauty to be found,1
Inordinary,FLOWERS for VASES / descansos,There's a beauty to be found,I wish that feelin' stuck around,Mmm,1
Inordinary,FLOWERS for VASES / descansos,Mmm,There's a beauty to be found,"In the ordinary, ordinary, ordinary",1
Inordinary,FLOWERS for VASES / descansos,"In the ordinary, ordinary, ordinary",Mmm,"In the ordinary, ordinary",1
Inordinary,FLOWERS for VASES / descansos,"In the ordinary, ordinary","In the ordinary, ordinary, ordinary","In the ordinary, ordinary, ordinary",1
Inordinary,FLOWERS for VASES / descansos,"In the ordinary, ordinary, ordinary","In the ordinary, ordinary","In the ordinary, ordinary",1
Inordinary,FLOWERS for VASES / descansos,"In the ordinary, ordinary","In the ordinary, ordinary, ordinary","(I was inordinary, ordinary)",1
Inordinary,FLOWERS for VASES / descansos,"(I was inordinary, ordinary)","In the ordinary, ordinary","(I wasn't ordinary, ordinary, ordinary)",1
Inordinary,FLOWERS for VASES / descansos,"(I wasn't ordinary, ordinary, ordinary)","(I was inordinary, ordinary)",,1
HYD,FLOWERS for VASES / descansos,When the air is quiet and the sky is blue,,I can't help be reminded of yo -,1
HYD,FLOWERS for VASES / descansos,I can't help be reminded of yo -,When the air is quiet and the sky is blue,Are you,1
HYD,FLOWERS for VASES / descansos,Are you,I can't help be reminded of yo -,fucking kidding me?,1
HYD,FLOWERS for VASES / descansos,fucking kidding me?,Are you,When the air is quiet and the sky is blue,1
HYD,FLOWERS for VASES / descansos,When the air is quiet and the sky is blue,fucking kidding me?,I can't help be reminded of you,1
HYD,FLOWERS for VASES / descansos,I can't help be reminded of you,When the air is quiet and the sky is blue,How your eyes are shut so you cannot see,1
HYD,FLOWERS for VASES / descansos,How your eyes are shut so you cannot see,I can't help be reminded of you,Just how very close I keep you to me,1
HYD,FLOWERS for VASES / descansos,Just how very close I keep you to me,How your eyes are shut so you cannot see,And in that dark little place you have made,1
HYD,FLOWERS for VASES / descansos,And in that dark little place you have made,Just how very close I keep you to me,You'd swear all these pretty clouds are gray,1
HYD,FLOWERS for VASES / descansos,You'd swear all these pretty clouds are gray,And in that dark little place you have made,I wonder how you're doing,1
HYD,FLOWERS for VASES / descansos,I wonder how you're doing,You'd swear all these pretty clouds are gray,How you're doing now,1
HYD,FLOWERS for VASES / descansos,How you're doing now,I wonder how you're doing,"In a million years, never thought I'd see",1
HYD,FLOWERS for VASES / descansos,"In a million years, never thought I'd see",How you're doing now,The day you would choose your fear over me,1
HYD,FLOWERS for VASES / descansos,The day you would choose your fear over me,"In a million years, never thought I'd see",'Cause many storms have come and if not for you,1
HYD,FLOWERS for VASES / descansos,'Cause many storms have come and if not for you,The day you would choose your fear over me,"I'd have been struck down, disappeared at sea",1
HYD,FLOWERS for VASES / descansos,"I'd have been struck down, disappeared at sea",'Cause many storms have come and if not for you,I know it's hard for you to take a compliment,1
HYD,FLOWERS for VASES / descansos,I know it's hard for you to take a compliment,"I'd have been struck down, disappeared at sea",But my life began the day which you came in it,1
HYD,FLOWERS for VASES / descansos,But my life began the day which you came in it,I know it's hard for you to take a compliment,I wonder how you view me,1
HYD,FLOWERS for VASES / descansos,I wonder how you view me,But my life began the day which you came in it,How you view me now,1
HYD,FLOWERS for VASES / descansos,How you view me now,I wonder how you view me,"On a night like this, it's just me and the kid",1
HYD,FLOWERS for VASES / descansos,"On a night like this, it's just me and the kid",How you view me now,And there's a chair for you where you'd always sit,1
HYD,FLOWERS for VASES / descansos,And there's a chair for you where you'd always sit,"On a night like this, it's just me and the kid",And we would talk for hours about the dumbest shit,1
HYD,FLOWERS for VASES / descansos,And we would talk for hours about the dumbest shit,And there's a chair for you where you'd always sit,And you would always start my cigarette,1
HYD,FLOWERS for VASES / descansos,And you would always start my cigarette,And we would talk for hours about the dumbest shit,I wonder if you ever quit like you wanted,1
HYD,FLOWERS for VASES / descansos,I wonder if you ever quit like you wanted,And you would always start my cigarette,"I bet you did, I bet you did",1
HYD,FLOWERS for VASES / descansos,"I bet you did, I bet you did",I wonder if you ever quit like you wanted,"I bet you did, I bet you did",1
HYD,FLOWERS for VASES / descansos,"I bet you did, I bet you did","I bet you did, I bet you did",How you doing?,1
HYD,FLOWERS for VASES / descansos,How you doing?,"I bet you did, I bet you did",,1
No Use I Just Do,FLOWERS for VASES / descansos,Nobody wants to be alone,,But that is not why I want you,1
No Use I Just Do,FLOWERS for VASES / descansos,But that is not why I want you,Nobody wants to be alone,"See, I've tried and I keep trying, but baby",1
No Use I Just Do,FLOWERS for VASES / descansos,"See, I've tried and I keep trying, but baby",But that is not why I want you,"It's no use, it's no use, I just love you",1
No Use I Just Do,FLOWERS for VASES / descansos,"It's no use, it's no use, I just love you","See, I've tried and I keep trying, but baby","It's no use, I just love you",1
No Use I Just Do,FLOWERS for VASES / descansos,"It's no use, I just love you","It's no use, it's no use, I just love you","It's no use, I just love you",1
No Use I Just Do,FLOWERS for VASES / descansos,"It's no use, I just love you","It's no use, I just love you","It's no use, I just love you",5
No Use I Just Do,FLOWERS for VASES / descansos,"It's no use, I just love you","It's no use, I just love you",If I just wanted someone to hold,1
No Use I Just Do,FLOWERS for VASES / descansos,If I just wanted someone to hold,"It's no use, I just love you","Then really, anyone would do",1
No Use I Just Do,FLOWERS for VASES / descansos,"Then really, anyone would do",If I just wanted someone to hold,I close my eyes and really try,1
No Use I Just Do,FLOWERS for VASES / descansos,I close my eyes and really try,"Then really, anyone would do",Not to turn 'em into you,1
No Use I Just Do,FLOWERS for VASES / descansos,Not to turn 'em into you,I close my eyes and really try,"It's no use, I just love you",1
No Use I Just Do,FLOWERS for VASES / descansos,"It's no use, I just love you",Not to turn 'em into you,"It's no use, I just love you",1
No Use I Just Do,FLOWERS for VASES / descansos,"It's no use, I just love you","It's no use, I just love you","It's no use, I just do",1
No Use I Just Do,FLOWERS for VASES / descansos,"It's no use, I just do","It's no use, I just love you","It's no use, I just love you, mmm",1
No Use I Just Do,FLOWERS for VASES / descansos,"It's no use, I just love you, mmm","It's no use, I just do","It's no use, I just love you",1
