Title,Album,Lyrics
"For a Pessimist, I'm Pretty Optimistic",Riot!,"[Verse 1]
Just talk yourself up and tear yourself down
You've hit your one wall, now find a way around

Well, what's the problem? You got a lot of nerve


[Pre-Chorus]
So what did you think I would say?
No, you can't run away
No, you can't run away
So what did you think I would say?
No, you can't run away
No, you can't run away
You wouldn't

[Chorus]
I never wanted to say this
You never wanted to stay
I put my faith in you, so much faith
And then you just threw it away
You threw it away

[Verse 2]
I'm not so naive, my sorry eyes can see
The way you fight shy of almost everything
Well, if you give up, you'll get what you deserve

[Pre-Chorus]
So what did you think I would say?
No, you can't run away
No, you can't run away
So what did you think I would say?
No, you can't run away
No, you can't run away
You wouldn't

[Chorus]
I never wanted to say this
You never wanted to stay
I put my faith in you, so much faith
And then you just threw it away
You threw it away


[Bridge]
You were finished long before
We had even seen the start

Why don't you stand up? Be a man about it
Fight with your bare hands about it now

[Chorus]
I never wanted to say this (Say this)
You never wanted to stay, well, did you?
I put my faith in you, so much faith
And then you just threw it away
I never wanted to say this
You never wanted to stay
And I put my faith in you, so much faith
And then you just threw it away"
That's What You Get,Riot!,"[Verse 1]
No, sir
Well, I don't wanna be the blame, not anymore
It's your turn
So take a seat, we're settling the final score
And why do we like to hurt so much?

I can't decide
You have made it harder just to go on
And why?
All the possibilities, well, I was wrong

[Chorus]
That's what you get when you let your heart win

Whoa-oh-oh-oh-oh
That's what you get when you let your heart win
Whoa-oh-oh-oh
I drowned out all my sense with the sound of its beating
And that's what you get when you let your heart win
Whoa-oh-oh-oh

[Verse 2]
I wonder
How am I supposed to feel when you're not here?
'Cause I burned
Every bridge I ever built when you were here

I still try
Holding onto silly things, I never learn
Oh, why?

All the possibilities, I'm sure you've heard

[Chorus]
That's what you get when you let your heart win
Whoa-oh-oh-oh-oh
That's what you get when you let your heart win
Whoa-oh-oh-oh
I drowned out all my sense with the sound of its beating (Beating)
And that's what you get when you let your heart win
Whoa-oh-oh-oh

[Bridge]
Pain, make your way to me, to me
And I'll always be just so (So) inviting
If I ever start to think straight
This heart will start a riot in me
Let's start, start, hey

[Refrain: Hayley Williams, Hayley Williams, Josh Farro, Zac Farro, Jeremy Davis & Steve Smith]
Why do we like to hurt so much?
Oh, why do we like to hurt so much?

That's what you get when you let your heart win
Whoa-oh-oh

[Chorus]
That's what you get when you let your heart win
Whoa-oh-oh-oh-oh
That's what you get when you let your heart win
Whoa-oh-oh-oh
Now I can't trust myself with anything but this
And that's what you get when you let your heart win
Whoa-oh-oh-oh-oh"
Hallelujah,Riot!,"[Verse 1]
Somehow everything's gonna fall right into place
If we only had a way to make it all fall faster every day
If only time flew like a dove
Well, God, make it fly faster than I'm falling in love

[Chorus]
This time, we're not giving up
Let's make it last forever
Screaming, ""Hallelujah""
We'll make it last forever

[Verse 2]
Holding on to patience wearing thin
I can't force these eyes to see the end
If only time flew like a dove
Well, we could watch it fly and just keep looking up

[Chorus]
This time, we're not giving up
Let's make it last forever
Screaming, ""Hallelujah""
We'll make it last forever

[Bridge]
And we've got time on our hands
(We've got time) Got nothing but time on our hands
Got nothing but, got nothing but
(We've got time) Got nothing but time on our hands

[Chorus]
This time, we're not giving up
Ooh, let's make it last forever
Screaming, ""Hallelujah"" (Hallelujah)
""Hallelujah"""
Misery Business,Riot!,"[Intro]

Hit that, hit that snare


[Verse 1]
I'm in the business of misery
, let's take it from the top
She's got a body like an hourglass, it's ticking like a clock

It's a matter of time before we all run out

When I thought he was mine, she caught him by the mouth
I waited eight long months, she finally set him free
I told him I couldn't lie, he was the only one for me
Two weeks and we caught on fire
She's got it out for me, but I wear the biggest smile

[Chorus]
Woah, I never meant to brag
But I got him where I want him now
Woah, it was never my intention to brag
To steal it all away from you now
But God, does it feel so good
'Cause I got him where I want him now

And if you could, then you know you would
'Cause God, it just feels so
It just feels so good

[Verse 2]
Second chances, they don't ever matter, people never change
Once a whore, you're nothing more, I'm sorry, that'll never change

And about forgiveness, we're both supposed to have exchanged
I'm sorry, honey, but I passed it up, now look this way
Well, there's a million other girls who do it just like you
Looking as innocent as possible to get to who
They want and what they like, it's easy if you do it right

Well, I refuse, I refuse, I refuse

[Chorus]
Woah, I never meant to brag
But I got him where I want him now
Woah, it was never my intention to brag
To steal it all away from you now
But God, does it feel so good
'Cause I got him where I want him right now

And if you could, then you know you would
'Cause God, it just feels so
It just feels so good


[Bridge]
I watched his wildest dreams come true
And not one of them involving you
Just watch my wildest dreams come true
Not one of them involving

[Guitar Solo]

[Refrain]
Woah, I never meant to brag
But I got him where I want him now

[Chorus]
Woah, I never meant to brag
But I got him where I want him now
Woah, it was never my intention to brag
To steal it all away from you now
But God, does it feel so good
'Cause I got him where I want him now

And if you could, then you know you would
'Cause God, it just feels so
It just feels so good"
When It Rains,Riot!,"[Verse 1]
And when it rains
On this side of town it touches
Everything
Just say it again and mean it
We don't miss a thing


[Pre-Chorus 1]
You made yourself a bed at the bottom of the blackest hole (Blackest hole)
And convinced yourself that it's not the reason you don't see the sun anymore


[Chorus]
And oh, oh, how could you do it?
Oh, I, I never saw it coming
Oh, oh, I need an ending
So why can't you stay just long enough to explain?


[Verse 2]
And when it rains
Well, you always find an escape
Just running away
From all of the ones who love you
From everything


[Pre-Chorus 2]
You made yourself a bed at the bottom of the blackest hole (Blackest hole)

And you'll sleep 'til May and you'll say that you don't wanna see the sun anymore

[Chorus]
And oh, oh, how could you do it?
Oh, I, I never saw it coming
Oh, oh, I need an ending
So why can't you stay just long enough to explain?


[Bridge]
Take your time
Take my time

Take these chances to turn it around (Take your time)
Just take these chances, we'll make it somehow
And take these chances to turn it around (Take my)
Just turn it around


[Refrain]
Oh, how could you do it?
Oh, I, I never saw it coming


[Chorus]
Oh, oh, how could you do it?
Oh, I, I never saw it coming
Oh, oh, how could you do it?
Oh, I, I never saw it coming
Oh, oh, I need an ending
So why can't you stay just long enough to explain?

[Outro]
You can take your time
Take my time"
Let the Flames Begin,Riot!,"[Verse 1]
What a shame we all became
Such fragile, broken things

A memory remains
Just a tiny spark

I give it all my oxygen
To let the flames begin
So let the flames begin

Oh, glory
Oh, glory

[Chorus]
This is how we'll dance when
When they try to take us down
This is what we'll be, oh, glory


[Verse 2]
Somewhere weakness is our strength
And I'll die searching for it

I can't let myself regret
Such selfishness
My pain and oh, the trouble caused
No matter how long
I believe that there's hope
Buried beneath it all and
Hiding beneath it all and
Growing beneath it all and

[Chorus]
This is how we'll dance when
When they try to take us down

This is how we'll sing, oh
This is how we'll stand when
When they burn our houses down
This is what we'll be, oh, glory


[Bridge]
Reaching as I sink down into light (Into light)
Reaching as I sink down into light (Into light)

[Chorus]
This is how we'll dance when
When they try to take us down

This is how we'll sing, oh
This is how we'll stand when
When they burn our houses down
This is what we'll be, oh, glory"
Miracle,Riot!,"[Verse 1]
I've gone for too long
Living like I'm not alive
So I'm gonna start over tonight

Beginning with you and I
When this memory fades
I'm gonna make sure it's replaced
With chances taken, hope embraced
And have I told you?

[Chorus]
I'm not going
'Cause I've been waiting for a miracle
And I'm not leaving

I won't let you
Let you give up on a miracle
When it might save you

[Verse 2]
We've learned to run from
Anything uncomfortable

We've tied our pain below
And no one ever has to know
That inside we're broken
I try to patch things up again
To count my tears and kill these fears
But have I told you, have I?

[Chorus]
I'm not going
'Cause I've been waiting for a miracle
And I'm not leaving

I won't let you
Let you give up on a miracle
When it might save you

[Bridge: Hayley Williams, Josh Farro, Hayley Williams & Josh Farro]
It's not faith if, if you use your eyes
, oh, I
Will get it right this time (This time)
Let's leave this all behind, oh, I
Will get it right this time
It's not faith if you're using your eyes, oh, I

[Verse 3]
I've gone for too long
Living like I'm not alive
So I'm gonna start over tonight
Beginning with you and
I don't want to run from
Anything uncomfortable
I just want, no
I just need this pain to end right here

[Chorus]
I'm not going
'Cause I've been waiting for a miracle
And I'm not leaving

I won't let you
Let you give up on a miracle
'Cause it might save you

[Outro]
Yeah, it might save you
Oh, it might save you
It's not faith if, if you use your eyes
If you use your eyes
If you use your eyes"
crushcrushcrush,Riot!,"[Verse 1]
I got a lot to say to you
Yeah, I got a lot to say
I noticed your eyes are always glued to me
Keeping them here and it makes no sense at all


[Pre-Chorus 1]
They taped over your mouth
Scribbled out the truth with their lies
Your little spies
They taped over your mouth
Scribbled out the truth with their lies
Your little spies


[Pre-Chorus 2: Hayley Williams & Josh Farro]
Crush, crush, crush, crush, crush
(Two, three, four)


[Chorus]
Nothing compares to
A quiet evening alone
Just the one two of us who's counting on

That never happens
I guess I'm dreaming again
Let's be more than
This

[Verse 2]
If you wanna play it like a game
Well, come on, come on, let's play

'Cause I'd rather waste my life pretending
Than have to forget you for one whole minute


[Pre-Chorus 1]
They taped over your mouth
Scribbled out the truth with their lies
Your little spies
They taped over your mouth
Scribbled out the truth with their lies
Your little spies


[Pre-Chorus 2: Hayley Williams & Josh Farro]
Crush, crush, crush, crush, crush
(Two, three, four)


[Chorus]
Nothing compares to
A quiet evening alone
Just the one two of us who's counting on

That never happens
I guess I'm dreaming again
Let's be more than
This now

[Bridge: Hayley Williams, Josh Farro, Zac Farro, Jeremy Davis & Bekah Sheets]
Rock and roll, baby
Don't you know that we're all alone now?
I need something to sing about
Rock and roll, hey (Hey)
Don't you know, baby, we're all alone now?
I need something to sing about
Rock and roll, hey (Hey)
Don't you know, baby, we're all alone now?
Give me something to sing about


[Chorus]
Nothing compares to
A quiet evening alone
Just the one two of us who's counting on

That never happens
I guess I'm dreaming again
Let's be more than, no-ooh-oh

Nothing compares to
A quiet evening alone
Just the one two of us who's counting on

That never happens
I guess I'm dreaming again
Let's be more than


[Outro]
More than this
Oh-oh, oh-oh, oh-oh
Ooh, ooh"
We Are Broken,Riot!,"[Verse 1]
I am outside and I've been waiting for the sun
With my wide eyes,
I've seen worlds that don't belong
My mouth is dry with words I cannot verbalize
Tell me why we live like this


[Pre-Chorus]
Keep me safe inside
Your arms like towers
Tower over me
, yeah

[Chorus]
'Cause we are broken
What must we do to restore our innocence
And all the promise we adored?

Give us life again

'Cause we just wanna be whole


[Verse 2]
Lock the doors 'cause I'd like to capture this voice
It came to me tonight
So everyone will have a choice
And under red lights, I'll show myself it wasn't forged

We're at war, we live like this

[Pre-Chorus]
Keep me safe inside
Your arms like towers
Tower over me

[Chorus]
'Cause we are broken
What must we do to restore our innocence
And all the promise we adored?

Give us life again

'Cause we just wanna be whole


[Bridge]
Tower over me
Tower over me

And I'll take the truth at any cost

[Chorus]
'Cause we are broken
What must we do to restore our innocence
And all the promise we adored?

Give us life again

'Cause we just wanna be whole"
Fences,Riot!,"[Verse 1]
I'm sitting in a room
Made up of only big white walls

And in the hall
There are people looking through
The window in the door
They know exactly what we're here for
Don't look up, just let them think
There's no place else you'd rather be
You're always on display
For everyone to watch and learn from
Don't you know by now?


[Pre-Chorus]
You can't turn back
Because this road is all you'll ever have


[Chorus]
And it's obvious that you're dying, dying
Just living proof that the camera's lying

And oh, oh, open wide
'Cause this is your night so smile

'Cause you'll go out in style
You'll go out in style


[Verse 2]
If you let me, I could
I'd show you how to build your fences, set restrictions
Separate from the world

The constant battle that you hate to fight
Just blame the limelight
Don't look up, just let them think
There's no place else you'd rather be

[Pre-Chorus]
And now you can't turn back
Because this road is all you'll ever have

[Chorus]
And it's obvious that you're dying, dying
Just living proof that the camera's lying

And oh, oh, open wide
'Cause this is your night so smile


[Bridge]
Yeah, yeah, you're asking for it
With every breath that you breathe in

Just breathe it in
Yeah, yeah, well, you're just a mess
You do all this big talking
So now let's see you walk it
I said let's see you walk it
Yeah, yeah, well, you're just a mess
You do all this big talking
So now let's see you walk it
I said let's see you walk it

[Chorus]
And it's obvious that you're dying, dying
Just living proof that the camera's lying

And oh, oh, open wide
Yeah, oh, oh, open wide

Yeah, oh, oh, open wide
'Cause you'll go out in style
You'll go out in style"
Born for This,Riot!,"[Verse 1: Hayley Williams & Backing Vocalists]
Oh no, I just keep on falling
Back to the same old

And where's hope when misery comes crawling?

Oh, my way-ay
With your faith, you'll trigger a landslide

(Victory)
And kill off this common sense of mine


[Pre-Chorus]
And it takes acquired minds
To taste, to taste, to taste this wine
You can't down it with your eyes

So we don't need the headlines
We don't need the headlines, we just want
(We want the airwaves back)
(We want the airwaves back)


[Chorus]
Everybody sing
Like it's the last song you will ever sing
Tell me, tell me, do you feel the pressure now?

Everybody live
Like it's the last day you will ever see

Tell me, tell me, do you feel the pressure now?

[Verse 2: Hayley Williams & Backing Vocalists]
Right now, you're the only reason
I'm not letting go, oh

And I'm out if everyone's worth pleasing
Ha, ha
You'll trigger a landslide
(Victory)

To kill off their finite state of mind


[Pre-Chorus]
And it takes acquired minds
To taste, to taste, to taste this wine

You can't down it with your eyes

So we don't need the headlines
No, we don't want your headlines, we just want
(We want the airwaves back)
(We want the airwaves back)


[Chorus]
Everybody sing
Like it's the last song you will ever sing
Tell me, tell me, do you feel the pressure now?

Everybody live
Like it's the last day you will ever see

Tell me, tell me, do you feel the pressure now?

Everybody sing
Like it's the last song you will ever sing
Tell me, tell me, do you feel the pressure?

[Bridge: Hayley Williams & Backing Vocalists]
Alright, so you think you're ready?
Okay, then you say this with me, go

We were born for this

We were born for this

Alright, so you think you're ready?
Okay, then you say this with me, go

We were born for this

We were born for this

We were born for this

We were born for this

We were born for, we were born for


[Chorus]
Everybody sing
Like it's the last song you will ever sing
Tell me, tell me, can you feel the pressure?

Everybody live
Like it's the last day you will ever see

Tell me, tell me, can you feel the pressure now?

Everybody sing
Like it's the last song you will ever sing
Tell me, tell me, can you feel the pressure?
Tell me, tell me, can you feel the pressure?


[Outro: Hayley Williams, Hayley Williams & Backing Vocalists]
We were born for this
We were born for this
We were born for this"
Stop This Song (Lovesick Melody),RIOT! (International Deluxe Version),"[Verse 1]
You say the sweetest things
And I can't keep my heart from singing
Along to the sound of your song
My stupid feet keep moving
To this 4/4 beat, I'm in time with you, oh-oh, oh-oh
To this 4/4 beat, I would die for you (Die for you)
(Someone stop this)

[Pre-Chorus]
I've gone too far to come back from here
But you don't have a clue
You don't know what you do to me

[Chorus]
Won't someone stop this song?
So I won't sing along
Someone stop this song
So I won't sing


[Verse 2]
I never let love in
So I could keep my heart from hurting

The longer that I live with this idea
The more I sink in
To this 4/4 beat, I'm in time with you, oh-oh, oh-oh
To this 4/4 beat, I would die for you (Let's stop this song)

[Pre-Chorus]
I've gone too far to come back from here
But you don't have a clue
You don't know what you do to me
I've come too far to get over you
And you don't have a clue
You don't know what you do to me

[Chorus]
Can't someone stop this song?
So I won't sing along
Someone stop this song
So I won't sing


[Post-Chorus]
Your lovesick melody
Is gonna get the best of me tonight
But you won't get to me
If I don't sing

[Bridge]
It creeps in like a spider
Can't be killed
Although I try and try to
Well, don't you see I'm falling?
Don't want to love you
But I do

[Chorus]
(Lovesick melody)
Can someone stop this song?
So I won't sing along
(Lovesick melody, oh)
Can someone stop this song?
So I won't sing


[Post-Chorus]
Your lovesick melody
Is gonna get the best of me tonight
But you won't get to me
No, you won't get to me
'Cause I won't sing"
Rewind (Demo),RIOT! (International Deluxe Version),"[Verse 1]
Don't come looking for me
'Cause I'll be right here with the words you said
Looking for the words that you say
You know what you did, you know
And how can anybody forget the promise that you made?
'Cause this is how a promise breaks
I always knew you'd fall through
And now you're proof

[Chorus]
Rewind to the first time
That I felt it coming
I knew it would not last
Rewind to the first time
That I felt it coming
Make it quick, make it painless
Don't tell me lies, just say goodbye


[Verse 2]
And now you're running from me
So cool, so scared of what you might have said

And no one's ever looked away
'Cause we know what you did, we know

If I told anybody, that we would soon forget your name
And you would never have a place

I always knew you'd fall through
And now you're proof

[Chorus]
Rewind to the first time
That I felt it coming
I knew it would not last
Rewind to the first time
That I felt it coming
Make it quick, make it painless
Don't tell me lies, just say goodbye


[Bridge]
Please don't say too much, oh-oh
I think we've heard enough from you, oh

[Chorus]
Rewind to the first time
That I felt it coming
I knew it would not last
Rewind to the first time
That I felt it coming
Make it quick, make it painless
Don't tell me lies, just say goodbye
Don't tell me lies, just say goodbye"
Decoy,The B-Sides,"[Verse 1]
Close your eyes and make believe
This is where you wanna be

Forgetting all the memories, try to forget love 'cause love's forgotten me
Well, hey, hey baby, it's never too late
Pretty soon, you won't remember a thing
And I'll be distant, the stars reminiscing
Your heart's been wasted on me

[Chorus]
You've never been so used as I'm using you, abusing you

My little decoy
Don't look so blue, you should've seen right through

I'm using you, my little decoy
My little decoy

[Verse 2]
Live your life inside a dream
Time is changing everything
Forgetting all the memories
And I'm forced into you just 'cause you're into me

Well hey, hey baby, it's never too late
When I'm gone you won't remember a thing
But I can't stay and you know I won't wait
I was gone from the very first day

[Chorus]
You've never been so used as I'm using you, abusing you
My little decoy
Don't look so blue, you should've seen right through
I'm using you, my little decoy

[Bridge]
Oh, oh
I'm not sorry at all (not sorry at all, not sorry, no)
I won't be sorry at all (not sorry at all, not sorry, no)
I'd do it over again


[Outro]
Don't look so blue, my little decoy
You should've seen right through, my little decoy
You've never been so used, my little decoy
And so I'm using you, my little decoy"
Another Day,The B-Sides,"[Verse 1]
And if you're listening, I miss you
And if you hear me now, I need you
Where did you go? 'Cause you're not gone
Everyone knows that something's wrong
The wires were cut and I'm alone

[Pre-Chorus]
I know we're getting closer
I know you're coming back for me this time, this time

[Chorus]
And do you ever want me? Do you ever need me?
I know that you left before goodbye
And it's okay, there's always another day
And anytime you want me, anytime you see me
I don't think you meant to say goodbye
But it's okay, there's always another day

[Verse 2]
Your voice comes in and now it's fading
I can't believe this is so frustrating
'Cause you never seem to understand
And you let me slip straight through your hands
And how does it feel to be alone?

[Pre-Chorus]
I know we're getting closer
I know you're coming back for me this time, this time

[Chorus]
And do you ever want me? Do you ever need me?
I know that you left before goodbye
And it's okay, there's always another day
And anytime you want me, anytime you see me
I don't think you meant to say goodbye
And it's okay, there's always another day

[Bridge]
If you ever find what you were looking for
I will be waiting there, I will be there

[Chorus]
And do you ever want me? Do you ever need me?
I know that you left before goodbye
And it's okay, there's always another day
And anytime you want me, anytime you see me
I don't think you meant to say goodbye
But it's okay, there's always another day"
